Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.875;1000
*;*;1;0.908;152
1;*;*;0.941;51
7;*;*;0.879;423
*;0;3;0.912;57
7;1;*;0.877;324
*;1;1;0.913;127
*;*;4;0.883;120
*;0;2;0.883;60
7;1;3;0.881;84
7;*;3;0.887;115
4;*;*;0.893;56
0;*;*;0.875;271
*;1;5;0.882;68
7;0;*;0.889;99
7;*;4;0.884;69
