Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.860;1000
7;*;*;0.908;415
0;*;*;0.865;259
*;1;1;0.898;118
7;0;*;0.968;94
*;*;2;0.867;308
*;*;3;0.871;255
7;*;3;0.938;112
*;1;2;0.858;253
0;1;*;0.868;219
0;1;2;0.882;76
7;*;2;0.925;120
4;*;*;0.847;59
*;*;4;0.847;124
7;*;4;0.896;67
*;*;1;0.890;145
