Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.817;875
*;0;*;0.929;169
*;*;2;0.867;270
0;*;*;0.865;237
7;*;*;0.844;372
0;*;2;0.974;76
*;1;3;0.799;169
*;*;1;0.812;138
*;0;2;1.038;53
1;*;*;0.812;48
0;*;3;0.878;49
7;1;*;0.806;284
7;1;3;0.838;74
7;0;*;0.966;88
4;*;*;0.760;50
*;1;2;0.825;217
