group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,571,3974,804,152,0.7897648686030428,0.16827124319799078,0.21023513139695713,0.2499545537175059
Black,3464,374,2457,518,115,0.7648261758691206,0.17411764705882352,0.23517382413087934,0.2575057736720554
Unknown or Legacy,1135,78,866,161,30,0.7222222222222222,0.15676728334956183,0.2777777777777778,0.2105726872246696
East/Southeast Asian,839,41,688,87,23,0.640625,0.11225806451612903,0.359375,0.15256257449344457
South Asian,712,38,584,79,11,0.7755102040816326,0.1191553544494721,0.22448979591836735,0.16432584269662923
Middle-Eastern,623,31,498,78,16,0.6595744680851063,0.13541666666666666,0.3404255319148936,0.17495987158908508
Indigenous,392,49,283,53,7,0.875,0.15773809523809523,0.125,0.2602040816326531
Latino,350,12,282,44,12,0.5,0.13496932515337423,0.5,0.16
