group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M,10477,951,7840,1348,338,0.7377812257564003,0.14671310404875926,0.2622187742435997,0.21943304381025103
F,2539,181,2018,250,90,0.6678966789667896,0.11022927689594356,0.33210332103321033,0.16975187081528162
