group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,440,3096,624,113,0.7956600361663653,0.16774193548387098,0.20433996383363473,0.24900538263515096
Black | M,2864,339,1987,442,96,0.7793103448275862,0.18196788801976121,0.2206896551724138,0.27269553072625696
White | F,1228,131,878,180,39,0.7705882352941177,0.17013232514177692,0.22941176470588234,0.253257328990228
Unknown or Legacy | M,936,66,696,147,27,0.7096774193548387,0.17437722419928825,0.2903225806451613,0.22756410256410256
East/Southeast Asian | M,695,39,561,76,19,0.6724137931034483,0.11930926216640503,0.3275862068965517,0.16546762589928057
South Asian | M,610,33,496,70,11,0.75,0.12367491166077739,0.25,0.16885245901639345
Black | F,600,35,470,76,19,0.6481481481481481,0.1391941391941392,0.35185185185185186,0.185
Middle-Eastern | M,552,29,440,70,13,0.6904761904761905,0.13725490196078433,0.30952380952380953,0.1793478260869565
Latino | M,290,9,230,39,12,0.42857142857142855,0.1449814126394052,0.5714285714285714,0.16551724137931034
Indigenous | M,257,38,183,31,5,0.8837209302325582,0.14485981308411214,0.11627906976744186,0.26848249027237353
Unknown or Legacy | F,199,12,170,14,3,0.8,0.07608695652173914,0.2,0.1306532663316583
East/Southeast Asian | F,144,2,127,11,4,0.3333333333333333,0.07971014492753623,0.6666666666666666,0.09027777777777778
Indigenous | F,135,11,100,22,2,0.8461538461538461,0.18032786885245902,0.15384615384615385,0.24444444444444444
South Asian | F,102,5,88,9,0,1.0,0.09278350515463918,0.0,0.13725490196078433
Middle-Eastern | F,71,2,58,8,3,0.4,0.12121212121212122,0.6,0.14084507042253522
Latino | F,60,3,52,5,0,1.0,0.08771929824561403,0.0,0.13333333333333333
