group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,565,3971,807,158,0.7814661134163209,0.16889912097111762,0.21853388658367912,0.2494091983275768
Black,3464,364,2465,510,125,0.7443762781186094,0.17142857142857143,0.2556237218813906,0.2523094688221709
Unknown or Legacy,1135,83,845,182,25,0.7685185185185185,0.17721518987341772,0.23148148148148148,0.23348017621145375
East/Southeast Asian,839,45,677,98,19,0.703125,0.12645161290322582,0.296875,0.17044100119189512
South Asian,712,40,566,97,9,0.8163265306122449,0.14630467571644043,0.1836734693877551,0.19241573033707865
Middle-Eastern,623,34,484,92,13,0.723404255319149,0.1597222222222222,0.2765957446808511,0.20224719101123595
Indigenous,392,49,282,54,7,0.875,0.16071428571428573,0.125,0.2627551020408163
Latino,350,13,280,46,11,0.5416666666666666,0.1411042944785276,0.4583333333333333,0.16857142857142857
