group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,548,4030,748,175,0.7579529737206085,0.15655085809962327,0.24204702627939143,0.23559352844937284
Black,3464,368,2458,517,121,0.7525562372188139,0.17378151260504202,0.2474437627811861,0.2554849884526559
Unknown or Legacy,1135,72,895,132,36,0.6666666666666666,0.12852969814995133,0.3333333333333333,0.17973568281938326
East/Southeast Asian,839,36,721,54,28,0.5625,0.0696774193548387,0.4375,0.10727056019070322
South Asian,712,32,615,48,17,0.6530612244897959,0.07239819004524888,0.3469387755102041,0.11235955056179775
Middle-Eastern,623,23,534,42,24,0.48936170212765956,0.07291666666666667,0.5106382978723404,0.1043338683788122
Indigenous,392,44,303,33,12,0.7857142857142857,0.09821428571428571,0.21428571428571427,0.19642857142857142
Latino,350,9,302,24,15,0.375,0.0736196319018405,0.625,0.09428571428571429
