Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.022;13016
0;*;*;0.029;3464
7;*;*;0.024;5501
*;*;2;0.026;4237
*;*;3;0.024;3210
*;*;1;0.024;2012
*;1;4;0.021;1479
0;1;*;0.031;2864
7;*;3;0.028;1511
*;0;*;0.022;2539
7;*;2;0.028;1687
*;1;1;0.025;1598
*;1;3;0.025;2601
*;*;4;0.020;1813
