Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.138;13016
*;1;*;0.144;10477
*;1;2;0.149;3378
*;1;1;0.158;1598
7;1;*;0.145;4273
*;*;1;0.154;2012
*;*;2;0.146;4237
7;*;2;0.157;1687
*;1;3;0.139;2601
*;1;4;0.136;1479
0;*;*;0.139;3464
7;*;*;0.141;5501
