Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.133;13016
0;1;*;0.142;2864
7;*;2;0.156;1687
*;*;2;0.144;4237
*;*;1;0.155;2012
*;1;3;0.129;2601
0;*;*;0.143;3464
7;*;*;0.134;5501
*;1;4;0.122;1479
*;1;1;0.158;1598
*;0;*;0.133;2539
7;*;3;0.126;1511
