Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.127;13016
*;*;2;0.143;4237
*;*;1;0.146;2012
*;1;3;0.133;2601
7;*;*;0.134;5501
0;*;*;0.135;3464
*;1;*;0.130;10477
*;1;4;0.112;1479
7;*;2;0.162;1687
7;*;3;0.138;1511
0;1;*;0.137;2864
*;1;1;0.147;1598
*;1;2;0.143;3378
*;*;3;0.127;3210
