Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.127;13016
*;*;2;0.149;4237
*;*;1;0.144;2012
*;*;3;0.131;3210
7;*;*;0.130;5501
*;1;*;0.129;10477
*;1;4;0.105;1479
7;*;2;0.163;1687
0;*;*;0.131;3464
*;1;3;0.136;2601
*;1;1;0.149;1598
7;*;3;0.136;1511
0;1;*;0.133;2864
*;1;2;0.149;3378
