Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.127;13016
0;1;*;0.163;2864
7;*;*;0.135;5501
*;*;2;0.148;4237
*;1;1;0.154;1598
*;1;3;0.137;2601
*;1;4;0.117;1479
7;*;2;0.165;1687
0;*;*;0.151;3464
*;*;1;0.142;2012
7;*;3;0.138;1511
*;*;3;0.128;3210
*;1;2;0.150;3378
*;1;*;0.133;10477
