Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.970;806
*;*;2;0.983;301
7;1;*;0.972;246
*;0;*;0.981;158
7;*;*;0.978;325
7;*;2;0.992;125
*;1;2;0.980;246
7;1;2;0.989;90
*;*;4;0.975;81
*;*;1;0.966;148
*;1;1;0.967;123
