Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.025;13016
0;1;*;0.034;2864
7;*;2;0.038;1687
*;*;3;0.029;3210
7;*;3;0.032;1511
*;0;*;0.022;2539
*;*;2;0.030;4237
*;*;1;0.026;2012
*;1;4;0.018;1479
*;1;1;0.028;1598
0;*;*;0.031;3464
