Perceived_Race,Sex,Age_group__at_arrest_,targetcol,support
7,*,2,0.165,1687
*,1,2,0.157,3378
7,1,*,0.152,4273
*,*,2,0.152,4237
*,1,1,0.151,1598
*,1,3,0.151,2601
*,1,*,0.15,10477
*,*,1,0.15,2012
*,1,4,0.149,1479
0,*,*,0.147,3464
7,*,*,0.147,5501
*,*,*,0.145,13016
