Perceived_Race,Sex,Age_group__at_arrest_,targetcol,support
7,*,2,0.177,1687
0,1,*,0.156,2864
*,1,2,0.155,3378
*,1,1,0.153,1598
*,*,2,0.15,4237
0,*,*,0.149,3464
*,*,1,0.142,2012
7,*,*,0.136,5501
7,*,3,0.136,1511
*,1,3,0.13,2601
*,1,*,0.129,10477
*,*,*,0.123,13016
