Perceived_Race,Sex,Age_group__at_arrest_,targetcol,support
7,*,2,0.177,1687
*,1,1,0.171,1598
*,*,2,0.164,4237
*,*,1,0.164,2012
*,1,2,0.164,3378
7,*,3,0.156,1511
0,1,*,0.154,2864
*,1,3,0.15,2601
0,*,*,0.15,3464
7,*,*,0.146,5501
*,*,3,0.144,3210
*,*,*,0.14,13016
