Perceived_Race,Sex,Age_group__at_arrest_,targetcol,support
*,M,1,0.158,1598
White,*,2,0.157,1687
*,*,1,0.154,2012
*,M,2,0.149,3378
*,*,2,0.146,4237
White,M,*,0.145,4273
*,M,*,0.144,10477
White,*,*,0.141,5501
*,M,3,0.139,2601
Black,*,*,0.139,3464
*,*,*,0.138,13016
*,M,4,0.136,1479
