Perceived_Race,Sex,Age_group__at_arrest_,targetcol,support
*,M,1,0.158,1598
White,*,2,0.156,1687
*,*,1,0.155,2012
*,*,2,0.144,4237
Black,*,*,0.143,3464
Black,M,*,0.142,2864
White,*,*,0.134,5501
*,*,*,0.133,13016
*,F,*,0.133,2539
*,M,3,0.129,2601
White,*,3,0.126,1511
*,M,4,0.122,1479
