Perceived_Race,Sex,Age_group__at_arrest_,targetcol,support
White,*,2,0.162,1687
*,M,1,0.147,1598
*,*,1,0.146,2012
*,*,2,0.143,4237
*,M,2,0.143,3378
White,*,3,0.138,1511
Black,M,*,0.137,2864
Black,*,*,0.135,3464
White,*,*,0.134,5501
*,M,3,0.133,2601
*,M,*,0.13,10477
*,*,*,0.127,13016
*,*,3,0.127,3210
*,M,4,0.112,1479
