metric,case,avg_metric,avg_gap,max_gap
cost,Baseline,0.9009941242119947,0.13978207668086595,0.30045122143259945
availability,Baseline,0.7798,0.0739690838436256,0.16418354248939232
choice,Baseline,7.243199999999999,0.8983240972246727,1.8899606448116817
cost,Debiased-1,0.9429614538715512,0.10037307070918147,0.23754384087604388
availability,Debiased-1,0.7912,0.09573448300157364,0.21751971805203177
choice,Debiased-1,7.175400000000001,1.0646407624086593,2.447058471464079
cost,Debiased-2,0.8839054348064114,0.08531622450044006,0.19832808468723984
availability,Debiased-2,0.8582000000000001,0.05596097208886226,0.11335484285305704
choice,Debiased-2,8.119,0.6159155752437689,1.3499094610092957
