case,recourse_cost,recourse_availability,recourse_choice,recourse_cost_avg_gap,recourse_availability_avg_gap,recourse_choice_avg_gap
Baseline,0.9009941242119947,0.7798,7.2432,0.13978207668086595,0.0739690838436256,0.8983240972246727
Debiased-1,0.9429614538715512,0.7912,7.175400000000001,0.10037307070918147,0.09573448300157363,1.0646407624086596
Debiased-2,0.8839054348064115,0.8582000000000001,8.119,0.08531622450044005,0.05596097208886226,0.6159155752437689
