Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.145;13016
*;1;*;0.150;10477
7;1;*;0.152;4273
*;1;1;0.151;1598
7;*;2;0.165;1687
*;1;3;0.151;2601
0;*;*;0.147;3464
*;*;1;0.150;2012
*;1;4;0.149;1479
*;1;2;0.157;3378
*;*;2;0.152;4237
7;*;*;0.147;5501
7;*;3;0.141;1511
