Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.140;13016
*;*;2;0.164;4237
*;*;1;0.164;2012
*;1;3;0.150;2601
7;*;*;0.146;5501
0;1;*;0.154;2864
7;*;3;0.156;1511
*;1;4;0.114;1479
*;*;3;0.144;3210
7;*;2;0.177;1687
*;1;1;0.171;1598
*;0;*;0.128;2539
0;*;*;0.150;3464
*;1;2;0.164;3378
