Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.123;13016
*;*;2;0.150;4237
0;1;*;0.156;2864
7;*;*;0.136;5501
*;*;1;0.142;2012
*;1;3;0.130;2601
*;1;4;0.101;1479
0;*;*;0.149;3464
7;*;2;0.177;1687
*;1;*;0.129;10477
*;*;3;0.122;3210
*;1;2;0.155;3378
*;1;1;0.153;1598
7;*;3;0.136;1511
