group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,44,4755,23,679,0.06085753803596127,0.004813729593972373,0.9391424619640387,0.012179603708416652
Black,3464,37,2960,15,452,0.07566462167689161,0.005042016806722689,0.9243353783231084,0.015011547344110854
Unknown or Legacy,1135,2,1025,2,106,0.018518518518518517,0.0019474196689386564,0.9814814814814815,0.003524229074889868
East/Southeast Asian,839,4,774,1,60,0.0625,0.0012903225806451613,0.9375,0.0059594755661501785
South Asian,712,3,663,0,46,0.061224489795918366,0.0,0.9387755102040817,0.004213483146067416
Middle-Eastern,623,0,572,4,47,0.0,0.006944444444444444,1.0,0.006420545746388443
Indigenous,392,1,335,1,55,0.017857142857142856,0.002976190476190476,0.9821428571428571,0.00510204081632653
Latino,350,1,324,2,23,0.041666666666666664,0.006134969325153374,0.9583333333333334,0.008571428571428572
