group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M,10477,80,9147,41,1209,0.062063615205585725,0.004462342185459295,0.9379363847944143,0.01154910756896058
F,2539,19,2250,18,252,0.07011070110701106,0.007936507936507936,0.9298892988929889,0.0145726664040961
