group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M,10477,466,8953,235,823,0.36152055857253684,0.025576839355681325,0.6384794414274632,0.06690846616397823
F,2539,85,2213,55,186,0.31365313653136534,0.024250440917107582,0.6863468634686347,0.05513981882630957
