group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,266,4646,132,457,0.367911479944675,0.02762662201758058,0.632088520055325,0.07235048173059444
Black,3464,190,2873,102,299,0.3885480572597137,0.03428571428571429,0.6114519427402862,0.08429561200923788
Unknown or Legacy,1135,33,1010,17,75,0.3055555555555556,0.016553067185978577,0.6944444444444444,0.04405286343612335
East/Southeast Asian,839,12,765,10,52,0.1875,0.012903225806451613,0.8125,0.026221692491060787
South Asian,712,11,655,8,38,0.22448979591836735,0.012066365007541479,0.7755102040816326,0.026685393258426966
Middle-Eastern,623,11,568,8,36,0.23404255319148937,0.013888888888888888,0.7659574468085106,0.030497592295345103
Indigenous,392,22,330,6,34,0.39285714285714285,0.017857142857142856,0.6071428571428571,0.07142857142857142
Latino,350,6,319,7,18,0.25,0.02147239263803681,0.75,0.037142857142857144
