group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,265,4650,128,458,0.3665283540802213,0.02678945165341147,0.6334716459197787,0.07144155608071259
Black,3464,176,2883,92,313,0.35991820040899797,0.03092436974789916,0.6400817995910021,0.07736720554272518
Unknown or Legacy,1135,31,1003,24,77,0.28703703703703703,0.023369036027263874,0.7129629629629629,0.048458149779735685
East/Southeast Asian,839,16,759,16,48,0.25,0.02064516129032258,0.75,0.03814064362336114
South Asian,712,10,658,5,39,0.20408163265306123,0.007541478129713424,0.7959183673469388,0.021067415730337078
Middle-Eastern,623,15,565,11,32,0.3191489361702128,0.019097222222222224,0.6808510638297872,0.04173354735152488
Indigenous,392,27,329,7,29,0.48214285714285715,0.020833333333333332,0.5178571428571429,0.08673469387755102
Latino,350,6,321,5,18,0.25,0.015337423312883436,0.75,0.03142857142857143
