group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,282,4640,138,441,0.3900414937759336,0.02888237756383424,0.6099585062240664,0.07634975459007454
Black,3464,177,2890,85,312,0.3619631901840491,0.02857142857142857,0.6380368098159509,0.075635103926097
Unknown or Legacy,1135,30,1008,19,78,0.2777777777777778,0.018500486854917234,0.7222222222222222,0.04317180616740088
East/Southeast Asian,839,18,760,15,46,0.28125,0.01935483870967742,0.71875,0.03933253873659118
South Asian,712,13,654,9,36,0.2653061224489796,0.013574660633484163,0.7346938775510204,0.03089887640449438
Middle-Eastern,623,13,564,12,34,0.2765957446808511,0.020833333333333332,0.723404255319149,0.04012841091492777
Indigenous,392,31,325,11,25,0.5535714285714286,0.03273809523809524,0.44642857142857145,0.10714285714285714
Latino,350,6,320,6,18,0.25,0.018404907975460124,0.75,0.03428571428571429
